Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
                0.01    0.04    2001/4004        MkLiuPairs::Initialize(int) [25]
                0.05    0.00 20445105/3307266707     MkLiuParticles::operator[](int) [6]
                0.03    0.00 8668332/15436969     MkLiuBoundarys::operator[](int) [34]
                0.01    0.00 2889444/3090564     MkPoint::operator=(MkPoint const&) [48]
                0.01    0.00  201120/4542680     MkLiuKernel::dWdY(double, double, double, double) [17]
                0.01    0.00  201120/4542680     MkLiuKernel::dWdZ(double, double, double, double) [18]
                0.01    0.00  201120/5265044     MkLiuKernel::W(double) [20]
                0.01    0.00  201120/4542680     MkLiuKernel::dWdX(double, double, double, double) [22]
                0.00    0.00 2011200/235666249     MkLiuPairs::operator[](int) [14]
                0.00    0.00 3611805/7233615     MkLiuBoundarys::GetSize() [72]
                0.00    0.00    2001/4054        MkPoint::MkPoint() [90]
-----------------------------------------------
                0.00    0.00      11/235666249     MkLiuSPH::Calc_Bnd_Norm() [53]
                0.00    0.00     102/235666249     MkLiuSPH::Calc_Norm() [52]
                0.00    0.00  402240/235666249     MkLiuSPH::Art_Bnd_Repel() [36]
                0.00    0.00 2011200/235666249     MkLiuSPH::Direct_Bnd_Find() [13]
                0.02    0.00 8683108/235666249     MkLiuSPH::Ext_Force() [32]
                0.03    0.00 15571636/235666249     MkLiuSPH::Art_Visc() [11]
                0.04    0.00 17969576/235666249     MkLiuSPH::Norm_Bnd_Density() [15]
                0.09    0.00 43415540/235666249     MkLiuSPH::Direct_Find() [4]
                0.29    0.00 147612836/235666249     MkLiuSPH::Int_Force() [8]
[14]     1.2    0.47    0.00 235666249         MkLiuPairs::operator[](int) [14]
-----------------------------------------------
                0.25    0.12    2001/2001        MkLiuSPH::Single_Step() [3]
[15]     0.9    0.25    0.12    2001         MkLiuSPH::Norm_Bnd_Density() [15]
                0.05    0.00 19734419/3307266707     MkLiuParticles::operator[](int) [6]
                0.04    0.00 17969576/235666249     MkLiuPairs::operator[](int) [14]
                0.02    0.00  722361/5265044     MkLiuKernel::W(double) [20]
                0.00    0.01  722361/137978342     MkLiuKernel::SetSmoothLen(double) [9]
                0.00    0.00  201120/15436969     MkLiuBoundarys::operator[](int) [34]
                0.00    0.00       1/1           MkLiuSPH::Calc_Norm() [52]
                0.00    0.00       1/1           MkLiuSPH::Calc_Bnd_Norm() [53]
